file,format,bins,first_axis_value,last_axis_value,axis_step_as_stored,axis_unit,counts_sum,maximum_count,zero_bins,normalized_or_corrected
19-119/19-119_D0.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,15012893,50001,355,False
19-119/19-119_DA.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,10284749,50001,359,False
19-119/IRF_D0.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,1415678,50050,1129,False
19-119/IRF_DA.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,1415678,50050,1129,False
19-119/Linearization_D0.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,182123010,50001,32,False
19-119/Linearization_DA.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,182123010,50001,32,False
19-132/19-132_D0.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,15012893,50001,355,False
19-132/19-132_DA.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,9785321,50001,357,False
19-132/IRF_D0.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,1415678,50050,1129,False
19-132/IRF_DA.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,1415678,50050,1129,False
19-132/Linearization_D0.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,182123010,50001,32,False
19-132/Linearization_DA.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,182123010,50001,32,False
19-69/19-69_D0.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,30829055,100002,346,False
19-69/19-69_DA.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,22065681,100002,352,False
19-69/IRF_D0.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,2570750,100058,412,False
19-69/IRF_DA.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,2797096,100012,562,False
19-69/Linearization_D0.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,108401158,29949,76,False
19-69/Linearization_DA.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,102604342,28351,31,False
